Date,Price,Open,High,Low,Vol.,Return
1/4/2005,353.6854,391.5963,391.5963,353.6854,,-0.078
1/3/2005,383.6221,355.0824,385.2551,355.0824,,0.078
1/2/2005,355.8531,326.8229,355.8531,315.6633,,0.0735
1/1/2005,331.4828,304.1925,338.1748,304.1925,,0.0677
1/12/2004,310.4673,326.5933,332.5043,303.2428,,-0.0935
1/11/2004,342.5017,346.9508,350.247,330.5201,,-0.0359
1/10/2004,355.2492,339.3015,373.2011,337.2008,,0.0519
1/9/2004,337.7328,303.7866,337.7328,296.3365,,0.1426
1/8/2004,295.5954,305.96,322.0625,295.5954,,-0.0386
1/7/2004,307.4776,294.2479,307.4776,293.2093,,0.0738
1/6/2004,286.3553,315.6003,315.6003,280.3381,,-0.05
1/5/2004,301.4126,294.9385,310.8826,294.9385,,0.0411
1/4/2004,289.5122,276.7797,290.1607,275.0795,,0.0262
1/3/2004,282.1227,282.9823,286.8468,272.1516,,0.0124
1/2/2004,278.6556,266.5418,278.6556,256.6276,,0.0714
1/1/2004,260.088,261.6553,276.3313,259.6715,,-0.0017
1/12/2003,260.5434,246.9491,271.6895,246.9491,,0.06
1/11/2003,245.8032,235.6278,256.218,234.9616,,0.0307
1/10/2003,238.4895,233.2744,252.9424,233.2744,,0.0252
1/9/2003,232.6344,232.1754,234.7582,221.3021,,-0.0405
1/8/2003,242.459,241.8148,245.9133,237.8994,,0.0399
1/7/2003,233.1563,233.8183,237.8759,227.5195,,-0.0002
1/6/2003,233.2028,240.6407,242.8608,227.7912,,-0.0087
1/5/2003,235.2415,215.918,235.2415,213.9411,,0.0909
1/4/2003,215.6376,227.3601,230.177,212.5866,,-0.0716
1/3/2003,232.2788,271.094,276.1538,218.5813,,-0.1662
1/2/2003,278.572,251.4533,278.572,251.4533,,0.0991
1/1/2003,253.4514,240.8537,254.148,235.7204,,0.0778
1/12/2002,235.1541,220.1022,243.7579,216.602,,0.0811
1/11/2002,217.5085,217.1124,218.4081,204.5763,,0.0004
1/10/2002,217.423,229.1161,229.1161,215.4259,,-0.0444
1/9/2002,227.5257,209.6962,228.5812,209.6962,,0.0571
1/8/2002,215.2304,200.287,217.1401,199.1665,,0.0581
1/7/2002,203.4048,203.8104,207.3289,198.9574,,0.0031
1/6/2002,202.7765,193.9817,202.7765,190.001,,0.0437
1/5/2002,194.2879,201.4025,210.3676,191.3539,,-0.0487
1/4/2002,204.2329,204.5998,210.0896,186.5684,,0.0149
1/3/2002,201.2279,180.3043,201.2279,180.3043,,0.1399
1/2/2002,176.5311,170.2396,176.7066,166.9939,,0.0633
1/1/2002,166.0257,173.2103,175.5065,163.622,,-0.0185
1/12/2001,169.1572,171.1926,174.7635,163.4038,,-0.0025
1/11/2001,169.575,172.0513,179.5397,161.9622,,-0.0331
1/10/2001,175.3805,180.5032,184.119,174.0097,,-0.0349
1/9/2001,181.7182,201.4165,214.2537,176.4508,,-0.1048
1/8/2001,203.0028,201.5153,206.9833,200.2939,,0.0064
1/7/2001,201.72,201.1673,208.9452,196.4458,,-0.0047
1/6/2001,202.6644,216.8409,223.1542,200.4938,,-0.0687
1/5/2001,217.6236,225.9424,227.595,217.6236,,-0.0295
1/4/2001,224.2305,210.8111,230.5235,210.8111,,0.054
1/3/2001,212.7381,222.8057,229.3934,212.7381,,-0.0417
1/2/2001,221.9866,235.2427,242.9454,221.9866,,-0.022
1/1/2001,226.9736,239.3006,246.4047,226.9736,,-0.0808
1/12/2000,246.9237,249.9348,254.3747,234.4839,,-0.0369
1/11/2000,256.384,239.3945,262.9087,237.7022,,0.0831
1/10/2000,236.7139,243.5356,261.2689,236.7072,,-0.0032
1/9/2000,237.4833,245.3099,255.9134,235.0279,,-0.0283
1/8/2000,244.3988,215.3192,244.714,215.3192,,0.1457
1/7/2000,213.3268,235.4018,235.4018,213.3268,,-0.095
1/6/2000,235.7137,226.1956,237.8327,223.9036,,0.0561
1/5/2000,223.2031,205.456,229.0205,205.456,,0.0984
1/4/2000,203.2085,204.6767,205.0087,193.1008,,-0.0178
1/3/2000,206.8815,222.5149,230.4045,203.9219,,-0.0423
1/2/2000,216.0089,209.3361,216.0089,205.6049,,0.0467
1/1/2000,206.365,194.2237,209.0047,188.5528,,0.0608
1/12/1999,194.5372,190.9778,197.7741,189.4886,,0.0257
1/11/1999,189.6623,183.5998,198.9199,182.7891,,0.0456
1/10/1999,181.3901,191.0734,191.0734,175.8071,,-0.0506
1/9/1999,191.063,181.2474,192.9837,178.245,,0.052
1/8/1999,181.6245,171.2025,181.6245,170.9188,,0.0736
1/7/1999,169.1718,162.6501,170.6022,161.5676,,0.0356
1/6/1999,163.362,149.9942,163.362,149.9942,,0.0732
1/5/1999,152.2197,161.634,162.4368,152.1697,,-0.0544
1/4/1999,160.9771,152.8592,160.9771,149.2558,,0.0457
1/3/1999,153.9354,131.1051,154.2953,131.1051,,0.1768
1/2/1999,130.8113,133.4895,133.9257,130.0031,,-0.033
1/1/1999,135.2692,134.7565,140.4372,132.1659,,0.0169
1/12/1998,133.019,133.1336,136.9559,128.8857,,-0.0035
1/11/1998,133.4806,148.2528,150.8457,133.4806,,-0.1011
1/10/1998,148.4851,150.7718,152.252,146.9205,,-0.0343
1/9/1998,153.7656,139.3525,153.7656,138.798,,0.1227
1/8/1998,136.9596,141.2222,144.1204,136.9596,,-0.0463
1/7/1998,143.6022,154.9575,154.9575,143.6022,,-0.0747
1/6/1998,155.1993,157.1086,158.8751,149.457,,-0.0194
1/5/1998,158.2691,166.516,166.516,156.4468,,-0.0343
1/4/1998,163.8963,165.4283,169.3189,163.6716,,-0.0169
1/3/1998,166.715,164.9506,170.9636,158.0785,,0.0098
1/2/1998,165.0984,174.0576,174.0576,163.4723,,-0.0526
1/1/1998,174.2636,173.2876,176.8663,167.2654,,-0.0077
1/12/1997,175.623,189.3757,189.3757,175.623,,-0.0692
1/11/1997,188.6889,205.6334,205.9964,188.6889,,-0.0935
1/10/1997,208.1534,201.4265,211.4592,201.4265,,0.0318
1/9/1997,201.7335,197.5146,203.8038,194.2411,,0.0305
1/8/1997,195.7684,194.523,197.9974,190.9203,,0.0181
1/7/1997,192.2873,185.5789,192.2873,181.1499,,0.0384
1/6/1997,185.1689,195.5138,195.5138,182.5341,,-0.0618
1/5/1997,197.3687,196.7891,202.9404,193.9964,,0.0031
1/4/1997,196.7678,191.36,196.7678,186.5516,,0.0225
1/3/1997,192.4289,188.8339,196.3189,188.8339,,0.0191
1/2/1997,188.8185,203.8218,205.3196,188.6945,,-0.0785
1/1/1997,204.9099,217.0707,228.8586,204.9099,,-0.0481
1/12/1996,215.2563,218.8679,228.4117,211.4646,,-0.017
1/11/1996,218.9817,203.7491,220.0094,202.2481,,0.0686
1/10/1996,204.9208,204.3093,213.4756,204.15,,-0.0014
1/9/1996,205.2159,201.111,206.1821,199.0708,,0.0338
1/8/1996,198.5151,198.7488,204.1453,196.5199,,0.0198
1/7/1996,194.652,207.5215,211.0129,192.5204,,-0.0575
1/6/1996,206.5216,203.5239,206.5216,199.4194,,0.013
1/5/1996,203.8712,209.9898,212.0257,203.8712,,-0.0261
1/4/1996,209.3274,209.2467,216.6828,207.7418,,0.0129
1/3/1996,206.664,195.4975,209.1285,193.6818,,0.0454
1/2/1996,197.696,194.9348,199.2238,189.5035,,0.0045
1/1/1996,196.8141,207.425,208.8923,183.8825,,-0.0328
1/12/1995,203.4971,189.6976,206.7909,189.6976,,0.0829
1/11/1995,187.9269,183.526,189.6052,183.526,,0.0263
1/10/1995,183.1156,182.8375,183.1156,178.2145,,0.0112
1/9/1995,181.0815,181.578,184.471,180.1449,,0.0031
1/8/1995,180.5308,175.5394,180.5308,174.6524,,0.018
1/7/1995,177.3371,174.2289,177.3371,171.8471,,0.0163
1/6/1995,174.4889,182.0874,183.3169,174.4889,,-0.0349
1/5/1995,180.8068,185.0587,185.7908,179.4222,,-0.0154
1/4/1995,183.6347,179.1509,184.3021,179.1509,,0.0256
1/3/1995,179.0597,176.2208,179.8988,174.3175,,0.011
1/2/1995,177.1083,176.145,178.4646,174.406,,0.0063
1/1/1995,176.0039,178.6776,179.247,173.9222,,-0.0263
1/12/1994,180.7578,174.1751,180.7578,170.8985,,0.0319
1/11/1994,175.1664,180.4971,180.7888,175.1664,,-0.0216
1/10/1994,179.036,171.2233,180.2436,169.9872,,0.0445
1/9/1994,171.4158,170.3351,173.2863,169.0443,,0.0068
