"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-1993","357.20","338.60","358.50","336.00","600.56K","5.28%"
"01-03-1993","339.30","329.50","341.70","325.80","443.43K","3.10%"
"01-02-1993","329.10","330.20","334.60","327.80","358.35K","-0.48%"
"01-01-1993","330.70","329.10","333.00","326.30","325.22K","-0.72%"
"01-12-1992","333.10","335.80","340.10","332.00","21.93K","-0.72%"
"01-11-1992","335.50","339.90","340.80","328.90","","-1.35%"
"01-10-1992","340.10","348.90","353.40","336.90","","-2.66%"
"01-09-1992","349.40","345.50","354.50","340.30","","1.19%"
"01-08-1992","345.30","360.50","360.60","335.00","","-4.45%"
"01-07-1992","361.40","345.10","362.00","344.30","","4.94%"
"01-06-1992","344.40","338.70","346.90","338.20","","1.77%"
"01-05-1992","338.40","338.10","341.70","335.10","","0.15%"
"01-04-1992","337.90","346.00","346.90","334.90","","-2.20%"
"01-03-1992","345.50","351.30","353.00","336.30","","-2.43%"
"01-02-1992","354.10","359.50","360.50","349.40","","-1.34%"
"01-01-1992","358.90","351.20","361.50","348.50","","1.41%"
"01-12-1991","353.90","371.60","374.90","352.30","","-4.63%"
"01-11-1991","371.10","359.50","371.20","353.60","","3.23%"
"01-10-1991","359.50","357.10","367.40","356.70","","0.62%"
"01-09-1991","357.30","351.30","359.50","346.00","","1.25%"
"01-08-1991","352.90","370.70","370.90","350.10","","-4.83%"
"01-07-1991","370.80","370.20","373.20","362.30","","0.22%"
"01-06-1991","370.00","366.80","377.90","361.50","","1.43%"
"01-05-1991","364.80","358.60","367.70","354.60","","1.98%"
"01-04-1991","357.70","359.10","368.20","352.60","","-0.47%"
"01-03-1991","359.40","368.50","372.80","354.50","","-2.60%"
"01-02-1991","369.00","371.50","373.70","357.00","","0.14%"
"01-01-1991","368.50","395.10","406.90","367.80","","-6.99%"
"01-12-1990","396.20","384.90","396.50","369.10","","2.72%"
"01-11-1990","385.70","383.00","393.30","376.00","","1.15%"
"01-10-1990","381.30","402.90","404.00","361.50","","-6.57%"
"01-09-1990","408.10","390.10","414.30","381.60","","4.86%"
"01-08-1990","389.20","379.30","425.00","379.20","","2.64%"
"01-07-1990","379.20","359.50","382.20","352.00","","5.36%"
"01-06-1990","359.90","367.50","368.90","348.20","","-2.36%"
"01-05-1990","368.60","372.40","377.60","361.00","","-0.75%"
"01-04-1990","371.40","372.30","385.40","367.70","","-0.96%"
"01-03-1990","375.00","409.30","410.40","362.50","","-8.29%"
"01-02-1990","408.90","418.80","430.30","407.50","","-2.13%"
"01-01-1990","417.80","401.00","427.00","394.50","","3.11%"
"01-12-1989","405.20","418.20","424.20","400.10","","-2.95%"
"01-11-1989","417.50","377.70","419.70","375.70","","10.57%"
"01-10-1989","377.60","371.20","382.30","364.30","","1.51%"
"01-09-1989","372.00","365.70","376.70","360.60","","1.81%"
"01-08-1989","365.40","378.50","382.50","364.60","","-3.51%"
"01-07-1989","378.70","379.50","390.80","369.00","","0.37%"
"01-06-1989","377.30","366.30","384.80","360.50","","2.95%"
"01-05-1989","366.50","377.80","383.00","360.60","","-3.68%"
"01-04-1989","380.50","390.30","396.90","379.60","","-2.44%"
"01-03-1989","390.00","388.20","400.20","381.80","","-0.10%"
"01-02-1989","390.40","396.00","401.20","382.00","","-1.36%"
"01-01-1989","395.80","416.10","416.30","393.10","","-4.00%"
"01-12-1988","412.30","429.80","438.00","409.50","","-4.03%"
"01-11-1988","429.60","413.70","429.80","412.60","","3.49%"
"01-10-1988","415.10","398.80","419.00","398.10","","3.98%"
"01-09-1988","399.20","439.00","439.70","395.50","","-9.25%"
"01-08-1988","439.90","447.60","448.60","433.00","","-1.65%"
"01-07-1988","447.30","438.50","449.30","424.00","","2.19%"
"01-06-1988","437.70","461.60","473.80","432.30","","-4.81%"
"01-05-1988","459.80","449.50","463.00","443.60","","1.59%"
"01-04-1988","452.60","461.50","464.00","448.20","","-1.16%"
"01-03-1988","457.90","430.50","463.20","425.90","","6.02%"
"01-02-1988","431.90","458.50","461.90","425.10","","-5.80%"
"01-01-1988","458.50","484.00","488.50","454.00","","-6.22%"
"01-12-1987","488.90","493.50","507.40","475.00","","-1.67%"
"01-11-1987","497.20","472.30","503.00","456.00","","5.52%"
"01-10-1987","471.20","459.80","496.00","457.90","","2.70%"
"01-09-1987","458.80","462.00","474.80","458.00","","0.02%"
"01-08-1987","458.70","486.00","490.20","456.90","","-3.45%"
"01-07-1987","475.10","451.50","475.70","442.50","","5.06%"
"01-06-1987","452.20","449.50","468.80","437.60","","-0.83%"
"01-05-1987","456.00","455.50","481.50","445.50","","-0.11%"
"01-04-1987","456.50","422.50","480.50","418.50","","8.00%"
"01-03-1987","422.70","406.60","429.90","403.00","","3.76%"
"01-02-1987","407.40","409.70","412.00","391.40","","-0.37%"
"01-01-1987","408.90","406.50","425.00","399.00","","0.49%"
"01-12-1986","406.90","402.00","408.00","386.50","","3.06%"
"01-11-1986","394.80","405.00","413.80","376.50","","-2.64%"
"01-10-1986","405.50","430.30","446.50","400.00","","-5.65%"
"01-09-1986","429.80","399.00","446.00","397.10","","9.28%"
"01-08-1986","393.30","367.00","404.50","364.00","","6.38%"
"01-07-1986","369.70","348.20","371.30","343.30","","6.33%"
"01-06-1986","347.70","346.20","355.00","336.50","","0.17%"
"01-05-1986","347.10","348.00","348.80","337.70","","-0.29%"
"01-04-1986","348.10","336.00","352.50","330.80","","3.97%"
"01-03-1986","334.80","340.50","359.60","334.00","","-1.82%"
"01-02-1986","341.00","351.00","357.50","331.70","","-3.37%"
"01-01-1986","352.90","329.80","369.50","328.00","","6.58%"
"01-12-1985","331.10","327.80","332.40","315.50","","1.16%"
"01-11-1985","327.30","325.70","333.40","322.10","","0.18%"
"01-10-1985","326.70","326.00","335.70","324.90","","-0.12%"
"01-09-1985","327.10","335.00","336.50","318.20","","-3.74%"
"01-08-1985","339.80","332.50","350.20","326.50","","1.37%"
"01-07-1985","335.20","317.10","337.50","308.30","","5.51%"
"01-06-1985","317.70","320.10","331.30","312.50","","-0.56%"
"01-05-1985","319.50","317.30","329.80","308.60","","0.95%"
"01-04-1985","316.50","324.50","338.60","315.00","","-5.27%"
"01-03-1985","334.10","288.70","337.20","287.00","","15.73%"
"01-02-1985","288.70","306.00","308.50","282.60","","-6.08%"
"01-01-1985","307.40","307.00","311.00","296.70","","-0.74%"
"01-12-1984","309.70","332.50","337.00","306.60","","-7.14%"
"01-11-1984","333.50","335.70","353.50","325.00","","-0.74%"
"01-10-1984","336.00","352.00","355.80","333.50","","-4.36%"
"01-09-1984","351.30","350.00","356.50","341.60","","-1.87%"
"01-08-1984","358.00","350.50","369.00","349.00","","2.20%"
"01-07-1984","350.30","373.00","374.30","333.00","","-6.86%"
"01-06-1984","376.10","399.30","405.30","370.00","","-4.45%"
"01-05-1984","393.60","379.80","395.50","370.00","","3.69%"
"01-04-1984","379.60","394.50","395.00","377.80","","-3.73%"
"01-03-1984","394.30","398.20","410.50","385.50","","-1.15%"
"01-02-1984","398.90","384.00","406.00","379.10","","5.20%"
